App Date,Area,Department,Customer ID,Product,Agreement No,Adv Date,SLA,Process,Advance,Business Channel,QC Theme,MoR,Human/Non Human Error
44153,Scotland,Corporate Finance,C0095611,Contract Hire,A68910517,44166,Inside,Quality Control,66416,Direct,No Issue,,
44143,Midlands,Personal Finance,C0019529,Personal Loan,A94062718,44156,Inside,Validation,83057,Direct,Sales,E-mail,Non Human Error
44161,South West,Corporate Finance,C0021412,Corporate Loan,A58303941,44176,Outside,Application,14535,Referrals,No Issue,,
44153,Midlands,Commercial Finance,C0084240,Commercial Loan,A40371950,44159,Inside,Validation,96078,Broker,No Issue,,
44155,Scotland,Corporate Finance,C0054248,Hire Purchase,A76011508,44163,Inside,Payments,49682,Broker,No Issue,,
44138,Scotland,Commercial Finance,C0095526,Contract Hire,A29153796,44146,Inside,KYC,40083,Referrals,No Issue,,
44141,North West,Commercial Finance,C0088365,Commercial Loan,A47029887,44154,Inside,Collections,3084,Direct,Payments,Web Chat,Non Human Error
44141,North,Commercial Finance,C0090440,Commercial Loan,A95153104,44157,Outside,Documentation,11652,Broker,No Issue,,
44144,Scotland,Personal Finance,C0090299,Personal Loan,A30672928,44161,Outside,KYC,7729,Referrals,No Issue,,
44150,South East,Commercial Finance,C0019643,Commercial Loan,A42042904,44162,Inside,Underwriting,13110,Referrals,No Issue,,
44140,North,Personal Finance,C0058736,Personal Loan,A53694163,44148,Inside,Payments,22462,Broker,Regulatory,Social Media,Non Human Error
44159,North East,Personal Finance,C0024468,Leasing,A68616642,44170,Inside,Documentation,16889,Broker,No Issue,,
44140,North,Personal Finance,C0094150,Leasing,A37407647,44146,Inside,Application,21003,Broker,Regulatory,Mobile Chat,Human Error
44156,South West,Commercial Finance,C0040270,Contract Hire,A59179417,44170,Outside,Validation,77894,Referrals,Documentation,Mail,Human Error
44153,South East,Personal Finance,C0076183,Personal Loan,A76051729,44165,Inside,Collections,71356,Broker,Regulatory,E-mail,Human Error
44149,North East,Personal Finance,C0035885,Personal Loan,A46347026,44162,Inside,Documentation,81476,Broker,Documentation,Social Media,Non Human Error
44162,North,Corporate Finance,C0089320,Corporate Loan,A89650265,44177,Outside,Documentation,45051,Direct,Payments,Web Chat,Human Error
44145,South West,Corporate Finance,C0095055,Hire Purchase,A37792447,44152,Inside,Application,76963,Broker,Sales,Telephone,Non Human Error
44152,Scotland,Personal Finance,C0066057,Personal Loan,A85447871,44166,Outside,Collections,16656,Direct,No Issue,,
44141,South West,Corporate Finance,C0038895,Corporate Loan,A91675387,44148,Inside,Payments,13970,Direct,No Issue,,
44141,North East,Corporate Finance,C0076360,Leasing,A90243512,44148,Inside,Payments,48812,Direct,No Issue,,
44138,South East,Corporate Finance,C0026363,Hire Purchase,A50661564,44152,Outside,Documentation,84206,Direct,Sales,Mobile Chat,Non Human Error
44159,North East,Commercial Finance,C0031667,Leasing,A87030177,44170,Inside,Quality Control,76224,Broker,No Issue,,
44159,South East,Personal Finance,C0063194,Hire Purchase,A45496812,44171,Inside,Underwriting,38585,Direct,No Issue,,
44150,Midlands,Corporate Finance,C0036474,Hire Purchase,A94988153,44163,Inside,Payments,4188,Referrals,Sales,Face to Face,Human Error
44159,Midlands,Corporate Finance,C0056652,Hire Purchase,A52418650,44168,Inside,Underwriting,94574,Direct,No Issue,,
44161,North,Corporate Finance,C0059387,Leasing,A83046958,44177,Outside,Application,26997,Direct,Sales,Face to Face,Non Human Error
44145,Scotland,Personal Finance,C0044120,Leasing,A64264975,44158,Inside,KYC,46586,Referrals,No Issue,,
44165,North East,Personal Finance,C0037054,Personal Loan,A71276748,44173,Inside,Documentation,98926,Referrals,Decision,Mail,Human Error
44147,Midlands,Commercial Finance,C0078191,Leasing,A69745356,44164,Outside,Underwriting,73231,Broker,No Issue,,
44151,Wales,Corporate Finance,C0041930,Hire Purchase,A41722247,44158,Inside,Quality Control,35640,Direct,No Issue,,
44157,North West,Personal Finance,C0086535,Personal Loan,A57779264,44169,Inside,KYC,40489,Referrals,Decision,E-mail,Human Error
44145,Scotland,Commercial Finance,C0036456,Contract Hire,A59008235,44157,Inside,KYC,98150,Broker,Sales,Face to Face,Non Human Error
44149,South West,Personal Finance,C0081359,Hire Purchase,A61579995,44165,Outside,Validation,28627,Broker,No Issue,,
44138,North East,Commercial Finance,C0056954,Leasing,A28717164,44147,Inside,Collections,2373,Direct,No Issue,,
44152,Wales,Commercial Finance,C0058125,Hire Purchase,A72177077,44159,Inside,Underwriting,52489,Broker,Regulatory,Social Media,Human Error
44138,Midlands,Commercial Finance,C0045934,Commercial Loan,A63813822,44145,Inside,Collections,98976,Referrals,Documentation,E-mail,Human Error
44152,South West,Commercial Finance,C0097534,Commercial Loan,A80515604,44160,Inside,Validation,6004,Referrals,No Issue,,
44160,North West,Commercial Finance,C0088465,Contract Hire,A64089988,44167,Inside,Underwriting,96718,Broker,Decision,Social Media,Non Human Error
44138,South West,Personal Finance,C0091835,Leasing,A57357350,44145,Inside,Payments,81465,Broker,No Issue,,
44150,Midlands,Personal Finance,C0024044,Leasing,A35196207,44165,Outside,Application,38350,Broker,No Issue,,
44150,Midlands,Corporate Finance,C0044453,Leasing,A65376076,44159,Inside,Documentation,50802,Referrals,No Issue,,
44162,North East,Commercial Finance,C0065187,Contract Hire,A62914266,44169,Inside,Underwriting,12727,Referrals,Sales,Mobile Chat,Non Human Error
44143,Scotland,Commercial Finance,C0068883,Hire Purchase,A88267509,44152,Inside,Documentation,5070,Broker,No Issue,,
44156,North,Commercial Finance,C0046142,Contract Hire,A34982615,44172,Outside,Quality Control,55232,Referrals,No Issue,,
44161,Wales,Personal Finance,C0079042,Personal Loan,A87925548,44175,Outside,Documentation,92805,Broker,No Issue,,
44142,Scotland,Commercial Finance,C0023977,Commercial Loan,A39625856,44152,Inside,Application,82093,Referrals,Payments,Mail,Non Human Error
44159,South East,Commercial Finance,C0030013,Hire Purchase,A81935897,44167,Inside,Underwriting,32331,Referrals,No Issue,,
44145,Midlands,Personal Finance,C0074458,Hire Purchase,A48749506,44161,Outside,KYC,49316,Broker,No Issue,,
44155,South East,Commercial Finance,C0046011,Contract Hire,A74286700,44171,Outside,Documentation,13938,Referrals,No Issue,,
44142,Wales,Corporate Finance,C0046995,Hire Purchase,A36735040,44148,Inside,Documentation,61732,Referrals,No Issue,,
44165,South East,Commercial Finance,C0071978,Commercial Loan,A37518021,44174,Inside,Documentation,11895,Broker,No Issue,,
44157,Wales,Commercial Finance,C0073397,Hire Purchase,A40329076,44174,Outside,Payments,17946,Broker,No Issue,,
44148,Midlands,Commercial Finance,C0043002,Leasing,A67503654,44155,Inside,Application,93097,Direct,No Issue,,
44140,Midlands,Corporate Finance,C0078606,Leasing,A76991311,44151,Inside,Application,92161,Broker,Decision,Face to Face,Human Error
44162,Scotland,Personal Finance,C0080030,Personal Loan,A52328581,44178,Outside,Application,32566,Referrals,No Issue,,
44158,South West,Commercial Finance,C0034757,Hire Purchase,A29082171,44170,Inside,Validation,22906,Broker,No Issue,,
44158,Midlands,Personal Finance,C0026638,Leasing,A94923695,44172,Outside,Documentation,34535,Referrals,No Issue,,
44140,North,Commercial Finance,C0048796,Hire Purchase,A41507665,44156,Outside,Collections,36140,Referrals,Regulatory,Mobile Chat,Non Human Error
44144,South West,Corporate Finance,C0035663,Hire Purchase,A74030865,44153,Inside,Documentation,15545,Broker,Sales,Mail,Human Error
44144,Midlands,Corporate Finance,C0070251,Leasing,A37599265,44160,Outside,Application,2606,Direct,No Issue,,
44162,North East,Commercial Finance,C0066574,Contract Hire,A44672355,44172,Inside,Application,5107,Direct,No Issue,,
44155,Midlands,Corporate Finance,C0083203,Contract Hire,A96848907,44166,Inside,KYC,94420,Direct,No Issue,,
44137,North West,Corporate Finance,C0040745,Contract Hire,A77353990,44154,Outside,Payments,14517,Broker,No Issue,,
44143,Scotland,Corporate Finance,C0081791,Leasing,A80555296,44151,Inside,Underwriting,17814,Direct,Payments,Social Media,Non Human Error
44158,South East,Corporate Finance,C0026992,Hire Purchase,A77148732,44169,Inside,Collections,45413,Direct,Regulatory,Mobile Chat,Human Error
44141,South East,Personal Finance,C0055866,Personal Loan,A79489265,44156,Outside,Quality Control,11385,Direct,No Issue,,
44145,South West,Corporate Finance,C0033443,Hire Purchase,A31961887,44161,Outside,KYC,27462,Referrals,Documentation,Social Media,Human Error
44143,Scotland,Commercial Finance,C0025467,Commercial Loan,A72234193,44150,Inside,Validation,74838,Referrals,No Issue,,
44150,Wales,Personal Finance,C0050212,Personal Loan,A50924921,44161,Inside,Quality Control,79307,Broker,No Issue,,
44152,South East,Corporate Finance,C0079931,Leasing,A67387180,44165,Inside,Validation,87719,Referrals,Regulatory,Mobile Chat,Human Error
44163,South West,Corporate Finance,C0041464,Leasing,A71971763,44170,Inside,Underwriting,91351,Referrals,Regulatory,Mail,Human Error
44137,Midlands,Personal Finance,C0071630,Hire Purchase,A96638282,44143,Inside,Underwriting,24466,Broker,No Issue,,
44165,South West,Personal Finance,C0088375,Hire Purchase,A79142256,44175,Inside,Underwriting,80646,Direct,No Issue,,
44151,Midlands,Corporate Finance,C0053376,Leasing,A64774155,44160,Inside,Documentation,83448,Broker,Documentation,E-mail,Human Error
44142,North,Commercial Finance,C0062486,Hire Purchase,A37624923,44150,Inside,Collections,38240,Broker,No Issue,,
44160,North,Corporate Finance,C0082108,Hire Purchase,A32805706,44168,Inside,Validation,52511,Direct,Payments,Social Media,Human Error
44165,North,Personal Finance,C0038496,Hire Purchase,A66258657,44179,Outside,Quality Control,58605,Direct,Regulatory,Mobile Chat,Human Error
44158,North East,Personal Finance,C0042670,Leasing,A82156333,44173,Outside,Collections,65660,Direct,No Issue,,
44151,North West,Commercial Finance,C0027621,Commercial Loan,A58512676,44166,Outside,Documentation,30151,Referrals,Decision,Telephone,Non Human Error
44144,North East,Corporate Finance,C0019885,Leasing,A76169865,44151,Inside,Payments,52386,Direct,Payments,Web Chat,Human Error
44164,South West,Corporate Finance,C0041214,Contract Hire,A73642802,44175,Inside,Quality Control,58754,Referrals,No Issue,,
44155,Midlands,Personal Finance,C0022182,Personal Loan,A75365497,44161,Inside,Application,68008,Direct,No Issue,,
44163,North West,Corporate Finance,C0038975,Corporate Loan,A53643045,44180,Outside,Payments,48299,Referrals,No Issue,,
44147,South West,Corporate Finance,C0097071,Leasing,A43804878,44154,Inside,Application,37450,Broker,Documentation,E-mail,Human Error
44144,North,Corporate Finance,C0026005,Corporate Loan,A40256689,44157,Inside,Application,84126,Direct,Decision,Telephone,Non Human Error
44145,North,Corporate Finance,C0028567,Hire Purchase,A36973908,44158,Inside,Validation,98290,Direct,No Issue,,
44146,Scotland,Personal Finance,C0038934,Personal Loan,A77206930,44157,Inside,Quality Control,13546,Broker,No Issue,,
44152,Scotland,Commercial Finance,C0054239,Commercial Loan,A79895355,44159,Inside,Quality Control,78293,Broker,No Issue,,
44150,South West,Commercial Finance,C0091863,Leasing,A93286684,44165,Outside,KYC,66010,Broker,No Issue,,
44141,Scotland,Commercial Finance,C0037275,Commercial Loan,A78706452,44156,Outside,Validation,26792,Referrals,No Issue,,
44150,North West,Commercial Finance,C0061571,Commercial Loan,A44886207,44161,Inside,Payments,9888,Direct,Payments,Mobile Chat,Non Human Error
44154,Scotland,Corporate Finance,C0034567,Hire Purchase,A58524475,44166,Inside,KYC,99219,Referrals,No Issue,,
44164,Scotland,Commercial Finance,C0027685,Commercial Loan,A74605779,44175,Inside,Application,71922,Direct,Regulatory,Telephone,Human Error
44160,South West,Corporate Finance,C0063109,Corporate Loan,A44952869,44171,Inside,Underwriting,97000,Broker,Decision,Telephone,Human Error
44148,South West,Corporate Finance,C0046260,Hire Purchase,A70153822,44165,Outside,Application,84226,Direct,Decision,Telephone,Human Error
44163,North West,Corporate Finance,C0044930,Leasing,A43568809,44175,Inside,Quality Control,33894,Direct,No Issue,,
44154,North,Personal Finance,C0034885,Leasing,A38750662,44165,Inside,Validation,19255,Direct,No Issue,,
44150,South West,Personal Finance,C0085069,Personal Loan,A30920519,44159,Inside,Quality Control,87568,Direct,Sales,Mobile Chat,Human Error
44143,North,Corporate Finance,C0028327,Leasing,A71739039,44159,Outside,KYC,16372,Direct,No Issue,,
44156,Midlands,Corporate Finance,C0076676,Hire Purchase,A67898556,44168,Inside,KYC,67215,Broker,Regulatory,Social Media,Human Error
44149,North,Corporate Finance,C0021425,Hire Purchase,A78301808,44155,Inside,Payments,76087,Referrals,Payments,Web Chat,Human Error
44145,South West,Commercial Finance,C0023007,Contract Hire,A68883507,44153,Inside,Validation,18455,Direct,No Issue,,
44139,Scotland,Corporate Finance,C0059531,Leasing,A92683366,44146,Inside,KYC,67998,Broker,No Issue,,
44164,Wales,Personal Finance,C0021275,Personal Loan,A52634987,44179,Outside,Validation,81185,Direct,Payments,Face to Face,Human Error
44160,Wales,Corporate Finance,C0037761,Contract Hire,A51243277,44166,Inside,Application,42288,Direct,No Issue,,
44164,South West,Personal Finance,C0072976,Personal Loan,A44215190,44170,Inside,Validation,22840,Direct,No Issue,,
44140,Midlands,Commercial Finance,C0055352,Leasing,A51479182,44146,Inside,Collections,18354,Direct,No Issue,,
44146,North,Personal Finance,C0086176,Personal Loan,A77668412,44159,Inside,Underwriting,82473,Referrals,No Issue,,
44165,Wales,Personal Finance,C0076017,Leasing,A31578577,44182,Outside,Quality Control,85438,Referrals,No Issue,,
44160,North,Personal Finance,C0036391,Leasing,A57636144,44176,Outside,Quality Control,94065,Broker,Sales,Telephone,Human Error
44150,North East,Corporate Finance,C0034249,Contract Hire,A45526695,44161,Inside,Documentation,57310,Direct,Documentation,Mail,Non Human Error
44150,North East,Personal Finance,C0059807,Hire Purchase,A95049602,44166,Outside,Application,15022,Direct,No Issue,,
44163,South West,Corporate Finance,C0075907,Corporate Loan,A38337865,44174,Inside,Validation,42094,Broker,No Issue,,
44160,Wales,Personal Finance,C0083255,Personal Loan,A73284874,44173,Inside,Application,35994,Direct,No Issue,,
44145,North East,Corporate Finance,C0065807,Contract Hire,A34408999,44158,Inside,Quality Control,36481,Direct,No Issue,,
44161,North East,Corporate Finance,C0068275,Leasing,A32890615,44171,Inside,Underwriting,8131,Broker,Regulatory,E-mail,Non Human Error
